Case ID,"Overall, how often do you use the internet?",Use social media-Do you do any of the following online or on your cellphone?,More connected to information about what's going on in your friends' lives?-Does social media make you feel,Worse about your own life because of what you see from other friends on social media?-Does social media make you feel,Better connected to your friends' feelings?-Does social media make you feel,Pressure to post content that will be popular and get lots of comments or likes-Does social media make you feel,Pressure to only post content that makes you look good to others?-Does social media make you feel,People posting about things you werent invited to?- Do you ever experience on social media,People stirring up drama?-Do you ever experience on social media,People posting things about you that you cant change or control?-Do you ever experience on social media,People supporting you through challenges or tough times?-Do you ever experience on social media,People get to show different sides of themselves on social media that they cant show offline,People are less authentic and real on social media than they are offline?,People share too much information about themselves on social media?,Was there anyone in the room who watched or helped you take the survey?,Teen's race/ethnicity,Teen's age,Teen's gender,Do you consider yourself to be transgender?,Household Size,Housing Type,Marital Status,Metro status,Region of country,Own or rent,State,Parent's employment status,Household internet access,household income
5,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little",No,"Yes, occasionally",No,"Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,Hispanic,14,Female,"No, not transgender",4,A building with 2 or more apartments,Never married,Metro,West,Rented for cash,CA,Not working - other,Yes,"$30-49,999"
9,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,Hispanic,14,Male,"No, not transgender",1,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Not working - retired,Yes,"under $30,000"
10,About once a day,Yes,"Yes, a lot","Yes, a little","Yes, a little",No,"Yes, a little",No,"Yes, occasionally",No,"Yes, frequently",Agree,Disagree,Strongly agree,No,Hispanic,15,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"50,000-$74,999"
12,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,Hispanic,13,Female,"No, not transgender",8,A one-family house attached to one or more houses,Living with partner,Metro,South,Occupied without payment of cash rent,FL,Not working - other,Yes,"50,000-$74,999"
14,Several times a day,Yes,"Yes, a little","Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally",No,"Yes, frequently",Agree,Agree,Agree,No,Hispanic,15,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - as a paid employee,Yes,"$75,000-$124,999"
16,Several times a day,Yes,"Yes, a little","Yes, a little",No,"Yes, a little",No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Disagree,Agree,Disagree,No,Hispanic,13,Male,"Yes, female to male",4,A one-family house detached from any other house,Married,Metro,Northeast,Rented for cash,NY,Not working - other,Yes,"under $30,000"
20,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house detached from any other house,Divorced,Metro,West,Rented for cash,CA,Not working - looking for work,Yes,"$30-49,999"
21,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot",No,No,No,"Yes, occasionally","Yes, frequently","Yes, frequently",Strongly agree,Strongly agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",2,A one-family house detached from any other house,Divorced,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"50,000-$74,999"
23,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a little",No,"Yes, occasionally","Yes, occasionally","Yes, frequently","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Divorced,Non-Metro,Midwest,Owned or being bought by you or someone in your household,MN,Not working - disabled,Yes,"under $30,000"
26,Several times a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Separated,Metro,West,Owned or being bought by you or someone in your household,CA,Working - as a paid employee,Yes,"50,000-$74,999"
28,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,17,Male,"No, not transgender",3,A one-family house detached from any other house,Divorced,Metro,Midwest,Owned or being bought by you or someone in your household,OH,Working - as a paid employee,Yes,"$125,000+"
29,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,No,Strongly disagree,Strongly agree,Strongly agree,No,Hispanic,13,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Working - as a paid employee,Yes,"$75,000-$124,999"
32,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, a little","Yes, frequently","Yes, occasionally","Yes, occasionally","Yes, occasionally",Agree,Disagree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NY,Working - as a paid employee,Yes,"$75,000-$124,999"
33,Several times a day,Yes,No,No,No,No,No,No,"Yes, occasionally",No,"Yes, occasionally",Agree,Strongly agree,Strongly agree,No,Hispanic,16,Male,"No, not transgender",3,A one-family house attached to one or more houses,Living with partner,Metro,South,Owned or being bought by you or someone in your household,DC,Working - as a paid employee,Yes,"$125,000+"
36,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, frequently","Yes, occasionally","Yes, occasionally","Yes, frequently",Strongly agree,Disagree,Agree,Yes,"White, Non-Hispanic",17,Male,"No, not transgender",3,A one-family house detached from any other house,Married,Metro,Midwest,Rented for cash,KS,Not working - disabled,Yes,"under $30,000"
38,Several times a day,Yes,"Yes, a lot","Yes, a little","Yes, a lot","Yes, a lot","Yes, a little","Yes, frequently","Yes, frequently","Yes, occasionally","Yes, occasionally",Strongly agree,Agree,Disagree,No,"White, Non-Hispanic",14,Female,"No, not transgender",3,A one-family house attached to one or more houses,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"50,000-$74,999"
39,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"Black, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,FL,Working - self-employed,Yes,"$125,000+"
40,Several times a day,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,No,"2+ Races, Non-Hispanic",17,Male,"Yes, male to female",2,A one-family house detached from any other house,Never married,Metro,Midwest,Rented for cash,OH,Not working - disabled,Yes,"under $30,000"
41,Several times a day,Yes,"Yes, a little",No,No,No,No,"Yes, occasionally","Yes, occasionally",No,No,Strongly agree,Agree,Agree,No,"White, Non-Hispanic",14,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,MA,Working - as a paid employee,Yes,"$125,000+"
43,Almost constantly,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Yes,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,PA,Not working - other,Yes,"50,000-$74,999"
44,Several times a day,Yes,"Yes, a little",No,"Yes, a little","Yes, a lot","Yes, a little","Yes, occasionally",No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",17,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,UT,Not working - other,Yes,"$75,000-$124,999"
46,Several times a day,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,"Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, occasionally",Agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Male,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,GA,Working - as a paid employee,Yes,"$75,000-$124,999"
47,Almost constantly,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a lot","Yes, a lot","Yes, occasionally","Yes, frequently","Yes, occasionally","Yes, frequently",Strongly agree,Agree,Strongly agree,No,"White, Non-Hispanic",16,Female,"No, not transgender",2,A one-family house detached from any other house,Widowed,Metro,South,Owned or being bought by you or someone in your household,NC,Working - as a paid employee,Yes,"$75,000-$124,999"
48,Almost constantly,Yes,"Yes, a little",No,"Yes, a little",No,No,"Yes, occasionally","Yes, occasionally",No,"Yes, occasionally",Strongly agree,Disagree,Agree,No,"White, Non-Hispanic",15,Female,"No, not transgender",4,A one-family house attached to one or more houses,Married,Metro,South,Owned or being bought by you or someone in your household,MD,Working - as a paid employee,Yes,"50,000-$74,999"
51,Once a week,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",14,Female,"No, not transgender",4,A building with 2 or more apartments,Married,Metro,South,Rented for cash,TX,Not working - other,Yes,"50,000-$74,999"
54,Almost constantly,Yes,"Yes, a lot","Yes, a lot","Yes, a lot",No,No,"Yes, occasionally","Yes, occasionally","Yes, frequently","Yes, frequently",Agree,Agree,Agree,No,"White, Non-Hispanic",13,Female,"No, not transgender",6,A one-family house detached from any other house,Married,Metro,West,Owned or being bought by you or someone in your household,NV,Not working - disabled,Yes,"50,000-$74,999"
55,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little",No,"Yes, a lot","Yes, occasionally","Yes, frequently","Yes, frequently","Yes, frequently",Strongly disagree,Strongly agree,Strongly agree,No,Hispanic,14,Male,"No, not transgender",5,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$125,000+"
57,Several times a day,Yes,"Yes, a lot",No,"Yes, a lot","Yes, a little","Yes, a little","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, frequently",Agree,Agree,Strongly agree,No,Hispanic,17,Female,"No, not transgender",5,A building with 2 or more apartments,Married,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"under $30,000"
58,Several times a day,Yes,"Yes, a lot",No,"Yes, a little",No,No,No,No,No,"Yes, occasionally",Agree,Agree,Agree,No,"White, Non-Hispanic",15,Male,"No, not transgender",3,A one-family house attached to one or more houses,Divorced,Metro,South,Rented for cash,FL,Not working - retired,Yes,"under $30,000"
59,Almost constantly,Yes,"Yes, a little","Yes, a little",No,No,"Yes, a lot","Yes, occasionally","Yes, frequently","Yes, occasionally",No,Agree,Agree,Disagree,No,Hispanic,15,Male,"Yes, male to female",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,TX,Working - as a paid employee,Yes,"$30-49,999"
60,Several times a day,Yes,"Yes, a little",No,No,No,No,No,No,No,"Yes, occasionally",Agree,Disagree,Agree,No,"2+ Races, Non-Hispanic",16,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,South,Owned or being bought by you or someone in your household,NC,Not working - other,Yes,"$75,000-$124,999"
63,Almost constantly,Yes,"Yes, a little","Yes, a little","Yes, a little",No,No,No,No,No,No,Agree,Agree,Agree,No,Hispanic,13,Male,"No, not transgender",4,A building with 2 or more apartments,Living with partner,Metro,West,Rented for cash,CA,Working - as a paid employee,Yes,"$30-49,999"
65,Several times a day,No,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,Do not use social media,No,"White, Non-Hispanic",13,Female,"No, not transgender",4,A one-family house detached from any other house,Married,Metro,Northeast,Owned or being bought by you or someone in your household,NJ,Working - as a paid employee,Yes,"$125,000+"
